Week,Status,Category,Source,URL,Cost,Date Submitted,Date Live,Notes
1,Not started,Citation,Yelp Business,https://biz.yelp.com,Free,,,Claim listing if exists; create if not. Add 5+ photos.
1,Not started,Citation,Bing Places,https://www.bingplaces.com,Free,,,Bing Maps + voice search citations
1,Not started,Citation,Apple Business Connect,https://businessconnect.apple.com,Free,,,Apple Maps citations — iPhone-heavy market
1,Not started,Citation,Google Business Profile,https://business.google.com,Free,,,Already in progress per GBP Setup Checklist
2,Not started,Hyperlocal,Nextdoor Business Page,https://business.nextdoor.com,Free,,,Bell County neighborhoods are active on Nextdoor
2,Not started,Webmaster,Bing Webmaster Tools,https://www.bing.com/webmasters,Free,,,Unlocks free Bing backlink data
3,Not started,Trust,BBB Accreditation,https://www.bbb.org/accreditation,~$500/yr,,,Trust signal + .org backlink
3,Not started,Lead Source,Angi Pro,https://pro.angi.com,Free + paid leads,,,Lead source AND citation
4,Not started,Lead Source,HomeAdvisor Pro,https://pro.homeadvisor.com,Free + paid leads,,,Lead source + citation
4,Not started,Membership,Bell County Chamber,https://www.bellcountychamber.com/,$250-400/yr,,,Local .org link + member directory
5,Not started,Industry,Texas Construction Association,https://www.texasconstruction.org/,~$300/yr,,,Industry-relevant .org link
5,Not started,Membership,Greater Killeen Chamber,https://www.killeenchamber.com/,~$250/yr,,,Bell County reach beyond Temple
6,Not started,Citation,Houzz Pro,https://www.houzz.com/pro,Free,,,Outdoor structures category
6,Not started,Citation,Porch Pro,https://pro.porch.com,Free,,,Home services directory
6,Not started,Citation,Manta,https://www.manta.com,Free,,,Small business directory
6,Not started,Citation,MapQuest,https://listings.mapquest.com,Free,,,Map citation
6,Not started,Citation,Yellow Pages,https://www.yellowpages.com,Free,,,Legacy citation still indexed
6,Not started,Citation,Citysearch,http://www.citysearch.com,Free,,,Local citation
6,Not started,Citation,Local.com,https://www.local.com,Free,,,Local citation
6,Not started,Citation,Hotfrog US,https://www.hotfrog.com,Free,,,Business directory
6,Not started,Citation,Brownbook,https://www.brownbook.net,Free,,,Business directory
6,Not started,Citation,Cylex US,https://www.cylex.us.com,Free,,,Business directory
6,Not started,Citation,Foursquare for Business,https://business.foursquare.com,Free,,,Minor but counts
6,Not started,Citation,Tupalo,https://tupalo.com,Free,,,Citation builder syndicated
7,Not started,Earned Media,KCEN-TV pitch,https://www.kcentv.com,Free pitch,,,Pitch family-owned 3 generations angle
7,Not started,Earned Media,KWTX-TV pitch,https://www.kwtx.com,Free pitch,,,Same angle second outlet
8,Not started,Earned Media,Temple Daily Telegram,https://www.tdtnews.com,Free pitch,,,Local newspaper backlink
8,Not started,Earned Media,Killeen Daily Herald,https://kdhnews.com,Free pitch,,,Same play second outlet
9,Not started,Reviews,5 past customer Google review requests,n/a,Free,,,#1 GBP ranking factor
9,Not started,Reviews,5 past customer link requests,n/a,Free,,,Ranches churches businesses with own sites
9,Not started,Affinity,Texas A&M Aggie Network,https://www.aggienetwork.com,Free if eligible,,,Only if family member is alum
10,Not started,Earned Media,MetalMax customer-spotlight pitch,(TBD),Free,,,Only after partnership lands
